"No.","Time","Source","Destination","Protocol","Length","Service UUID","Value","Value","Info"
"2783","39.422167","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","22","Google Inc.","00ff00009a170222b815","00ff00009a170222b815","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2785","39.577048","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa701013d","00ff00009aa701013d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2790","39.673130","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa7015a31","00ff00009aa7015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2791","39.778120","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","24","Google Inc.","00ff00009a140406122f0fbe","00ff00009a140406122f0fbe","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3069","43.457723","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa2010138","00ff00009aa2010138","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3081","43.538753","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa2015a31","00ff00009aa2015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3592","48.020164","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010690","00ff00009a0d010690","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"9282","94.173475","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"9861","100.258671","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01dd4c","00ff00009a0a01dd4c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10320","103.747677","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10325","103.812543","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10340","103.854993","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10345","103.892585","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10358","103.977992","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
